area_name,total_accidents,avg_severity,norm_count,norm_severity,composite_score
Wilshire,34640,6.79809468822171,0.633507853403141,0.962097331349662,0.797802592376402
Olympic,32445,6.91357682231469,0.52083974951237,1,0.760419874756185
West LA,32208,6.75853825136612,0.508674674058105,0.949114418183905,0.728894546121005
Pacific,31867,6.74682273197979,0.491171337645006,0.945269239422235,0.718220288533621
Hollywood,29673,6.81687055572406,0.378554563186531,0.968259803927379,0.673407183556955
N Hollywood,32348,6.00367874366267,0.515860794579612,0.701360165781489,0.60861048018055
Van Nuys,30621,6.02240292609647,0.427214865003593,0.707505674678696,0.567360269841144
Devonshire,30289,6,0.410173493481162,0.700152756486616,0.555163124983889
West Valley,30155,6.00149228983585,0.403295349553434,0.700642544518528,0.551968947035981
77th Street,41780,4.17764480612733,1,0.102033180509897,0.551016590254949
Newton,32399,5.52733109046576,0.518478595626732,0.545016958208338,0.531747776917535
Mission,27339,6.01082702366583,0.25875166820655,0.703706319933449,0.481228994069999
Topanga,26055,6.00863557858377,0.192844677137871,0.702987060478615,0.447915868808243
Southwest,36394,3.91561795900423,0.723539677651165,0.0160327195554461,0.369786198603306
Foothill,22298,6.04767243698986,0,0.715799441553296,0.357899720776648
Central,26443,5.37703740120259,0.212760496868905,0.495688705408712,0.354224601138808
Northeast,27597,5.0164510635214,0.271994661739041,0.377339797291329,0.324667229515185
Rampart,23628,5.36808024377857,0.0682681449543168,0.492748855253032,0.280508500103674
Hollenbeck,22665,5.36426207809398,0.0188379016528077,0.491495685921414,0.255166793787111
Southeast,27460,4.21453022578296,0.264962529514424,0.114139432703939,0.189550981109181
Harbor,23373,3.86676934924913,0.0551791397187147,0,0.0275895698593574
